pypi_name,node_path,node_name,sha1_actual,md5_actual,sha256
7,.,7-0.0.0-py3-none-any.whl,901fd553cf7131aa50bf823af2c33169fd67dcd7,2a554c72504a96234108b6b9a3b79f31,a345e3e44e507cf33616d840886950e31bc03e644f7915869e449e611d040ab1
Cython,.,Cython-0.29.17-py2.py3-none-any.whl,af13c35952ba2c52f50ba5ec4bca79e7ff9ed1b4,7923fe09727e32f4c73037b3234e8a15,20cdf3f918c46355128d7c7cb041872ba2863cc11313972c6e390bd3dad968ba
Flask,.,Flask-0.12.3-py2.py3-none-any.whl,dcdeff9df0a6f765187d0ab0b427a11b6ee4f5a4,7ff37015d2c34754c92bcbc7afeb94ae,74bb782687731332b86aa8ab0817be14c9e63e5fa837934de8be4f9236d6d0d2
Flask-Session,.,Flask_Session-0.3.1-py2.py3-none-any.whl,f0e2c3b9da69fb0c1205e965f6a880c43c7331bb,420b5e1cb7a221812dc9e3426ed3c2b2,b9b32126bfc52c3169089f2ed9a40e34b589527bda48b633428e07d39d9c8792
GitPython,.,GitPython-3.1.20-py3-none-any.whl,6e53986321852848bff8ae35ae4f6ccb14b0d723,92fa387a85819a64acc29a0663572d17,b1e1c269deab1b08ce65403cf14e10d2ef1f6c89e33ea7c5e5bb0222ea593b8a
JPype1,.,JPype1-1.3.0-cp36-cp36m-manylinux_2_5_x86_64.manylinux1_x86_64.whl,12ec40a5174d907b8a963a1320960a68a5685b5f,1ddb2af8f284038738a8a365ad89fc75,d89ef97478da724728fc946e12256f5a62c5cb0d7107aa30256ffb4413754eea
Flask-Login,.,Flask_Login-0.4.0-py2.py3-none-any.whl,e4f4442a7433655ae1ea07c66b433703864cd0b7,ff707885e5d4b9ee77c8770f868f6507,f9149b63ec6b32aec44acb061ad851eb4eb065e742341147d116d69f8e35ae2b
GephiStreamer,.,GephiStreamer-2.0.3.zip,8cf84315f7ebf8a512a918be9cd8aa40d6ac0dc0,5ba8aca50ddbd8762d4eeb9a50fe01df,a3cee57ec1e7bbb1a5bd12813615995ae99bba7948e5453608fd0ada5772eea0
IPy,.,IPy-1.01.tar.gz,3d8d14e62a5ffed29d03bd247c583cd902374515,d6cf83e7f418ebbd23324ba1c658b907,edeca741dea2d54aca568fa23740288c3fe86c0f3ea700344571e9ef14a7cc1a
Jinja2,.,Jinja2-2.11.1-py2.py3-none-any.whl,6c50c940c6f3a30f2ac259b041a4e7afb6d9bf94,945f0fc50f46e8f8310ff3184bcec0e7,b0eaf100007721b5c16c1fc1eecb87409464edc10469ddc9a22a27a99123be49
Js2Py,.,Js2Py-0.60.tar.gz,d134e40b14c6637b11b98a295068ff95bf1b9992,5a497974f685330aa459a3bda9538753,6deaf6c2e49f91b6800581fbddd24b0ee51164e916e63681a368199f1de593ab
Kivy,.,Kivy-2.0.0-cp38-cp38-manylinux2010_x86_64.whl,c8f0a963c5429c73331d7d867b8752fa50ea7b71,6260981112f124920308758a01482f19,98ed5f46f05707a80e32a4fdd7e9fce4ac5f15da8fc83f91d5769dc66f137e20
Mako,.,Mako-1.1.4-py2.py3-none-any.whl,830c7cade5794dd8a803010218aa9b311d1f0bad,a2333a2f3afaecbf9dccc156666f8157,aea166356da44b9b830c8023cd9b557fa856bd8b4035d6de771ca027dfc5cc6e
MarkupSafe,.,MarkupSafe-2.0.1-cp37-cp37m-win_amd64.whl,dc103939646165136a73fd636e07535bd958817b,1440209039e516e3d462baa779320986,611d1ad9a4288cf3e3c16014564df047fe08410e628f89805e475368bd304914
MarkupSafe,.,MarkupSafe-2.0.1-cp38-cp38-manylinux1_x86_64.whl,1ec5a3e325feffed6fc934cd5356eb1c2ec0a2b7,6a00efcf52d4398c5a7e92764c3facd7,7d91275b0245b1da4d4cfa07e0faedd5b0812efc15b702576d103293e252af1b
Mako,.,Mako-1.1.3-py2.py3-none-any.whl,c622ecbc5ed9e53ae590a421aa93e1a448e664b3,a13421933b91e52f9d7b2aa835aa59d4,93729a258e4ff0747c876bd9e20df1b9758028946e976324ccd2d68245c7b6a9
Babel,.,Babel-2.8.0-py2.py3-none-any.whl,4c6c0123ef65288e4e0e32645207e72959cf6a01,7430e628b71a0d5973e3166bb54caac4,d670ea0b10f8b723672d3a6abeb87b565b244da220d76b4dba1b66269ec152d4
Flask,.,Flask-0.7.2.tar.gz,264448ebca80424479968a6eae80f8d8f712b265,a6f52d8de1f536ec982b363e4b6a0387,95fb72b7f2b0ccc68757fc03f7ae559d9fb8814fa5ddbfa27ae2a6d9b1e3f8cb
Logbook,.,Logbook-1.5.3-cp37-cp37m-win_amd64.whl,dd4fd74439ff892bf029944eb5b3ceb98bdf9c5f,a8b109e8a63199189eb0703e7c9e5b7f,0cf2cdbfb65a03b5987d19109dacad13417809dcf697f66e1a7084fb21744ea9
MarkupSafe,.,MarkupSafe-2.0.1-cp36-cp36m-manylinux2010_x86_64.whl,a7de4a44200606159bb2004527d5f263737f1764,92d7282d2a2ec2c762bb276eadb02ffb,fa130dd50c57d53368c9d59395cb5526eda596d3ffe36666cd81a44d56e48872
